,Demand,Lost Load,Curtailment,Electric resistance consumption,RES production,BESS outflow,BESS inflow,Genset production,Diesel consumption,BESS state of charge
2017-01-07 10:46:00,111.333,0.0,0.0029588465487243288,9.950224433688039,1.724117245869038e-05,6.411047806231389e-05,9.281177596457779e-05,121.2861947403622,0.6847684888231832,0.0004674217592290342
2017-01-07 10:47:00,113.8,0.0,0.0039886928808931165,7.480527018240506,1.724117245869038e-05,5.946432918659691e-05,9.741749462341591e-05,121.28453642311437,0.6847591261467614,0.0004679209690485261
2017-01-07 10:48:00,114.981,0.0,0.004986124813489201,6.297168314666668,1.724117245869038e-05,5.5697949526205254e-05,0.00010117955430468707,121.28318267991247,0.6847514830618364,0.00046854582164911865
2017-01-07 10:49:00,116.491,0.0,0.007294757740895701,4.7811043384837255,1.724117245869038e-05,4.778302323418674e-05,0.00010906049903122776,121.27944313252796,0.6847303699894307,0.0004694343142305484
2017-01-07 10:50:00,113.644,0.0,0.0038332216856403005,7.636878903340803,1.801316525534816e-05,5.9538001517914576e-05,9.738492718814766e-05,121.28473195878686,0.6847602301196187,0.0004699317159019412
2017-01-07 10:51:00,113.371,0.0,0.003430650118936069,7.9109066320436625,1.801316525534816e-05,6.040996912980235e-05,9.651827778180933e-05,121.28535537730599,0.6847637498718722,0.00047040082028266937
2017-01-07 10:52:00,113.613,0.0,0.003537356849447079,7.668683536894934,1.801316525534816e-05,5.9577318327679783e-05,9.733392788094527e-05,121.28524063718868,0.684763102061815,0.0004708967246964391
2017-01-07 10:53:00,113.196,0.0,0.0035498468489103124,8.085552672987184,1.801316525534816e-05,6.063539603736305e-05,9.629355557442171e-05,121.28512016483037,0.6847624218881571,0.0004713575937818523
2017-01-07 10:54:00,114.98,0.0,0.004947502813783526,6.298245677727092,1.801316525534816e-05,5.532022482392736e-05,0.0001015973909376945,121.28322144454174,0.6847517019226611,0.00047199568887829686
2017-01-07 10:55:00,114.633,0.0,0.004619138092635348,6.646035504070457,1.801316525534816e-05,5.696736565032767e-05,9.998403020652398e-05,121.28367964566239,0.684754288875691,0.00047257934188901725
2017-01-07 10:56:00,114.934,0.0,0.004891336198771489,6.344378589325457,1.801316525534816e-05,5.5723765880522774e-05,0.0001012146013494024,121.28329740319444,0.684752130776843,0.00047320501881832416
2017-01-07 10:57:00,112.656,0.0,0.0023404478408955787,8.628690170181853,1.801316525534816e-05,6.332659588002156e-05,9.362306505260993e-05,121.28704290132667,0.6847732774465146,0.0004735763911048147
2017-01-07 10:58:00,111.057,0.0,0.0013666514008571766,10.229994956839143,1.801316525534816e-05,6.717363537261941e-05,8.979511175147886e-05,121.28836621655113,0.6847807487384323,0.0004738196622097812
2017-01-07 10:59:00,109.108,0.0,0.0012001010531751553,12.17937089599159,1.801316525534816e-05,6.948073258049225e-05,8.750497698944079e-05,121.28857100812392,0.6847819049690826,0.0004739861974580703
2017-01-07 11:00:00,108.443,0.0,0.0011544397237178339,12.844467685395971,1.82061634545126e-05,6.99363269128655e-05,8.707974070664898e-05,121.28862106237003,0.6847821875698398,0.00047413800691552445
2017-01-07 11:01:00,111.743,0.0,0.0014411788294140422,9.543811351090264,1.82061634545126e-05,6.61476896911289e-05,9.082678156637034e-05,121.2882590028481,0.6847801434216807,0.0004744163341752575
2017-01-07 11:02:00,111.459,0.0,0.0014071247188394754,9.827893624586062,1.82061634545126e-05,6.649669909641789e-05,9.04799829768045e-05,121.28830652642533,0.6847804117345604,0.0004746823251496461
2017-01-07 11:03:00,108.77,0.0,0.0011687614419106005,12.517438107984805,1.82061634545126e-05,6.982066403375759e-05,8.718237466378965e-05,121.28860602497389,0.6847821026703584,0.00047483778881807264
2017-01-07 11:04:00,109.562,0.0,0.0012223361001767105,11.725323181506807,1.82061634545126e-05,6.924438280949847e-05,8.774789939853273e-05,121.28854581496012,0.6847817627312563,0.0004750123168250494
2017-01-07 11:05:00,106.348,0.0,0.0010060351271953267,14.939801798718044,1.82061634545126e-05,7.185702496874426e-05,8.520743570457015e-05,121.28880297809252,0.6847832146459605,0.00047510078499618324
2017-01-07 11:06:00,106.772,0.0,0.0010269801855048936,14.515753784811093,1.82061634545126e-05,7.156664293809768e-05,8.549737829516825e-05,121.2887764895685,0.6847830650946731,0.0004751996606822421
